Disclosure ID,Disclosure text,Trigger Condition (When),How,Category,Combine them,Applicable conditions/scenarios (When),Additional Considerations,Keyword(s) / Phrases
1,"You should consider the investment objectives, risks, charges and expenses of the fund carefully before investing. The prospectus and, if available, the summary prospectus contain this and other information about the fund and are available, along with information on other [Fund Family] funds, by calling [###-###-####] or from your financial professional. The prospectus should be read carefully before investing. Investing involves risks including possible loss of principal.",,,Returns,,Advertisements that include performance data,"Include phone number or web address where an investory may obtain a prospectus.

Must disclose that principle value will fluctuate and may be worth more or less than their original cost.", 
2,This is going to be unique depending on the strategy for each composite. ,"If performance for the strategy, composite, or fund is shown in the material then this disclosure needs to be present",Need to be a part of the presentation and can be in disclosures at the end of the document. ,Disclosure,SEC 206(4)-1(d)(6),"The material conditions, objectives and investment strategies used to obtain the results portrayed ","Strategy description should include: 
Investment Mandate and Objective
Investment Strategy
Fund description
Asset Class and Instruments
Benchmark
Criteria for Inclusion and Exclusion (fee paying or non fee paying)
Leverage and/or derivatives used
Other key characteristics including any limitations  or unique aspects of the strategy",
3,Performance includes the reinvestment of dividends and is net of withholding taxes (if applicable),If performance is shown in the presentation this disclosure must be presented,"Must be included in the presentation, but placement is not mandated. ",Disclosure,SEC 206(4)-1(d)(6),Whether and to what extent the results portrayed reflect the reinvestment of dividends and other earnings,"If the strategy has unique characteristics or income that is included in the returns, then this needs to be disclosed. ",
4,The Firm is not aware of any market indices that in the Firm’s opinion provide an appropriate basis for comparison to the composite principally because the objective of the investment strategy involves maximizing absolute (as opposed to relative) returns.,"If performance is shown for a composite, strategy, or fund and is compared to a benchmark, then this disclosure must be present.",This is only required if a benchmark is not shown. ,Disclosure,SEC 206(4)-1(a)(5),The effect of material market or economic conditions on the results portrayed (or an appropriate benchmark),"When a benchmark is not shown, the firm should disclose why a benchmark is not shown and if there are any material market or economic conditions that led to the results portrayed. ",
5,Past performance is not indicative of furture results.,"If performance is shown for a composite, strategy, or fund then this disclosure must be present.",Must be presented in the body of the advertisement and not in a footnote.,Disclosure,SEC  206(4)-1(d)(1),Past specific investment advice does not guarantee future results,"Type size must be at least as large as and of a style different from, but at least as prominent as, that used in the major portion of the advertisement",
6,"ABC Firm selects composite benchmarks based on the overall strategy and style of the composite strategy. Additional broad-market indicators may also be shown as additional information. For comparison purposes, the composite is measured against a synthetic index consisting of 80% DEF index and 20% GHI Index. The synthetic index is rebalanced and calculated monthly. DEF total return index reinvest dividends after the deduction of withholding taxes, using a tax rate applicable to non-resident institutional investors who do not benefit form double taxation treaties. Returns of all benchmark indexes to not reflect commissions or fees that would be incurred by an investor in pursuing the index return","If performance is shown for a composite, strategy, or fund and is compared to a benchmark, then this disclosure must be present.",When compared to a benchmark the document needs to describe any differences between the composite and the benchmark. ,Disclosure,SEC 206(4)-1(d)(5),The material facts relevant to any comparison made to the results of an index or other benchmark.,,
7,"The composite returns presented in this report include all portfolio assets, including residual cash and cash equivalents. Residual cash is defined as any cash that remains in the portfolio due to investment activity, including unsettled trades and dividends received but not yet reinvested.","If performance is shown for a composite, strategy, or fund then this disclosure must be present.",In the marketing material document,Disclosure,SEC 206(4)-1(a)(5),Disclose whether residual cash is included or not in the calculation,,
8,Returns presented are net of custodial fees.,If the firm uses an in house brokerage firm then their net returns must be net of custodial fees.,In the marketing material document,Disclosure,SEC 206(4)-1(d)(6) ,Disclose if returns are net of custodial fees (required to be if related custodian),This disclosure is only applicable if the firm has their own brokerage house.  Otherwise most firms do not calculated the net returns net of custodial fees and it is not required to do so. ,
9,Returns presented are net of transaction costs. ,"If performance is shown for a composite, strategy, or fund then this disclosure must be present.",In the marketing material document,Disclosure,SEC 206(4)-1(d)(6) ,Disclose if gross returns are gross or net of transaction costs,Most firms present gross returns net of transaction costs,
10,Returns presented are net of transaction costs and underlying manager fees. ,"If performance is shown for a composite, strategy, or fund then this disclosure must be present.",In the marketing material document,Disclosure,SEC 206(4)-1(d)(6) ,Disclose if gross returns are net of any other fees or expenses,Some gross returns are show net of admin costs or other costs.  If this is true then it needs to be propoerly disclosed. ,
11,There is no disclosure.,"If the marketing material shows performance, then it needs to be updated with the 1-, 5-, and 10-year returns through the most current period within 30 days of the performance period.",N/A,Returns,SEC 206(4)-1(d)(7),Annual performance is updated within one month of year-end or quarter-end,The SEC mandated that annual performance needs be updated by 1/31 after year-end.  So firms have to stop showing performance for 9/30 after 1/31.  They can choose to not show performance at all and only include commentary but their own performance must be revoked. If their strategy did poorly against the benchmark then the marketing material may need to be updated more frequently (i.e. quarterly),
12,"The extracted performance presented reflects an allocation of cash held by the entire portfolio. The allocation of cash is based on the proportion of the extracted strategy's assets relative to the total portfolio. As a result, the extracted performance includes the impact of cash holdings, which may influence returns during periods of high or low cash balances.

Alternatively, if cash is NOT allocated:
The extracted performance presented does not reflect an allocation of cash held by the entire portfolio. The extracted performance is based solely on the invested assets within the strategy, excluding any residual cash. As a result, performance figures may not fully reflect the liquidity impact that cash holdings could have on the total portfolio returns.","If extracted performance is shown in the matketing material, then this is required",In the marketing material document,Disclosure,SEC 206(4)-1(d)(4),"When presenting extracted performance, whether the extracted performance reflects an allocation of the cash held by the entire portfolio, and the effect of such cash allocation, or the absence of such an allocation, on the results",This is for extracted performance only which is defined as a subset of investments from a single portfolio.,
13,"The extracted performance presented represents a subset of the portfolio’s investments and is not indicative of the performance of the entire portfolio. The extracted performance focuses on [specific asset class, sector, or strategy] and does not include other holdings that may have contributed to the overall portfolio’s returns. No assumptions have been made regarding the allocation of cash or other assets unless otherwise stated.","If extracted performance is shown in the matketing material, then this is required",In the marketing material document,Disclosure,SEC 206(4)-1(d)(4),"When presenting extracted performance, disclose that it represents a subset of a portfolio’s investments. An adviser is not required to provide detailed information regarding the selection criteria, and the assumption underlying extracted performance, unless the absence of such a disclosure, based on the facts and circumstances, would result in performance information that is misleading or otherwise violates one of the general prohibitions",,
14,This is going to be unique depending on the strategy for each composite. ,"If performance is shown for a strategy or composite, then the description must be present.",In the marketing material document,Disclosure,SEC 206(4)-1(d)(3),The criteria used in defining the related portfolios and crafting the composite,"Strategy description should include: 
Investment Mandate and Objective
Investment Strategy
Asset Class and Instruments
Benchmark
Criteria for Inclusion and Exclusion (fee paying or non fee paying)
Leverage and/or derivatives used
Other key characteristics including any limitations  or unique aspects of the strategy",
1,,,,,,,,
